country,designation,points,price,province,region_1,region_2,variety,winery
8,2,85,13.0,18,2,1,5,53
3,2,86,55.0,19,33,8,12,54
3,27,86,100.0,8,2,3,9,55
1,39,86,17.0,20,34,1,29,56
3,40,86,25.0,19,33,8,30,57
5,41,86,58.0,21,35,1,31,58
3,42,86,26.0,8,36,1,20,59
5,2,86,24.0,22,37,1,11,60
5,2,86,15.0,22,38,1,11,61
3,43,86,46.0,19,33,8,32,62
3,2,86,12.0,8,39,9,15,63
5,41,86,55.0,21,35,1,31,64
3,2,86,12.0,19,33,8,11,65
3,44,86,40.0,8,8,4,9,66
1,45,86,32.0,15,40,1,33,67
3,46,86,75.0,8,41,3,9,68
3,47,86,55.0,8,42,3,34,68
3,48,86,75.0,8,2,3,32,69
6,2,86,9.0,7,2,1,4,70
9,49,86,18.0,23,43,1,11,71
3,50,86,25.0,3,44,2,5,72
2,51,86,35.3634,24,2,1,35,73
8,52,86,12.0,25,2,1,36,74
4,2,86,16.0,26,45,1,37,75
5,53,86,11.0,27,46,1,38,76
9,54,86,20.0,23,47,1,39,77
3,55,86,24.0,8,2,3,40,78
6,56,86,10.0,7,2,1,4,79
3,2,86,20.0,19,48,8,37,80
3,57,86,55.0,8,49,4,16,81
1,58,86,29.0,28,50,1,41,82
1,2,88,19.0,28,51,1,42,83
3,59,88,23.0,8,52,4,15,84
3,2,88,18.0,8,17,4,3,85
3,60,88,55.0,8,2,3,14,86
10,2,88,12.0,29,2,1,43,87
3,61,88,22.0,19,33,8,44,88
5,2,88,20.0,13,53,1,19,38
5,2,88,18.0,13,54,1,19,38
3,62,88,20.0,30,55,10,4,89
1,63,88,30.0,28,56,1,29,90
3,64,88,75.0,8,2,3,32,91
3,2,88,18.0,30,55,10,3,92
3,65,87,20.0,30,55,10,4,93
3,66,87,20.0,30,55,10,4,93
8,67,87,18.0,31,2,1,11,94
1,68,87,16.0,28,51,1,15,95
1,69,87,14.0,28,51,1,1,96
1,70,87,30.0,28,51,1,15,97
1,71,87,18.0,28,51,1,45,97
3,72,87,26.0,8,57,1,40,98
1,73,87,30.0,28,51,1,15,99
5,74,87,23.0,13,29,1,19,100
3,75,87,85.0,8,58,3,9,101
1,76,87,15.0,28,51,1,15,102
1,77,87,19.0,28,51,1,1,103
3,78,87,18.0,8,16,1,32,104
3,2,87,18.0,8,16,1,11,104
3,79,87,25.0,8,36,1,46,105
3,27,87,44.0,8,9,1,47,106
1,80,87,80.0,28,51,1,15,107
5,81,92,80.0,6,7,1,4,108
1,82,92,70.0,32,59,1,48,109
3,83,92,36.0,8,8,4,11,110
3,84,92,39.0,8,60,4,40,111
9,85,92,40.0,23,61,1,49,112
3,2,92,45.0,8,2,3,9,113
11,86,91,45.0,33,2,1,9,114
5,87,91,48.0,6,7,1,8,115
5,88,91,13.0,6,7,1,1,115
5,2,91,17.0,6,7,1,50,116
11,89,91,25.0,33,2,1,32,117
1,90,91,70.0,32,59,1,48,109
5,91,91,20.0,6,7,1,51,108
11,92,91,30.0,34,2,1,9,118
1,2,91,68.0,32,59,1,48,119
3,2,91,78.0,8,2,3,9,120
1,93,91,60.0,32,59,1,48,121
5,2,91,50.0,17,62,1,32,122
11,94,90,35.3634,35,2,1,18,123
5,95,90,10.0,6,7,1,51,108
5,96,90,112.0,6,7,1,3,116
1,97,90,26.0,32,63,1,52,124
1,98,90,45.0,32,59,1,48,121
3,2,90,17.0,8,64,1,4,125
5,99,90,84.0,6,7,1,3,126
3,100,91,85.0,8,65,3,9,127
3,101,91,64.0,8,64,1,5,128
3,102,91,68.0,8,36,1,9,129
3,102,91,68.0,8,36,1,9,129
6,103,91,16.0,7,2,1,4,130
3,104,91,35.0,8,66,1,53,131
3,105,91,25.0,8,2,3,9,132
2,106,91,30.0,36,2,1,54,133
3,107,91,55.0,8,67,1,5,134
3,108,91,46.0,8,16,1,47,135
4,109,91,50.0,37,68,1,55,136
3,2,91,36.0,8,69,1,47,137
6,110,91,14.0,9,2,1,4,138
2,111,91,26.0,36,2,1,2,139
1,112,91,38.0,28,70,1,29,140
1,113,91,35.3634,28,71,1,29,141
5,2,91,35.0,38,72,1,12,142
3,114,91,35.0,8,16,1,15,143
3,115,91,28.0,8,73,1,4,144
5,116,91,35.3634,13,74,1,19,145
8,117,91,29.0,39,2,1,15,146
8,118,91,32.0,18,2,1,9,147
5,119,91,25.0,38,75,1,56,148
3,2,91,28.0,8,16,1,30,149
3,120,91,95.0,8,2,3,16,150
3,121,91,44.0,8,76,4,5,151
6,122,91,30.0,9,2,1,4,152
6,2,91,22.0,9,2,1,4,152
8,123,91,20.0,40,2,1,9,153
3,2,91,38.0,3,3,2,5,154
12,2,88,19.0,41,2,1,20,155
1,124,88,25.0,42,77,1,57,156
8,125,88,50.0,18,2,1,15,157
1,2,88,22.0,28,70,1,29,158
3,126,88,25.0,8,23,4,47,159
5,127,88,27.0,22,37,1,11,160
3,128,88,23.0,8,64,1,11,161
3,129,88,36.0,8,78,1,5,162
1,130,88,35.3634,28,71,1,58,163
7,2,88,12.0,10,79,1,59,164
3,2,88,35.0,8,17,4,11,165
8,131,88,15.0,14,2,1,36,166
3,132,88,40.0,8,80,1,5,167
1,133,88,48.0,1,15,1,15,168
8,134,88,11.0,14,2,1,16,169
8,135,87,11.0,43,2,1,11,170
1,136,87,26.0,15,81,1,15,171
9,137,87,30.0,23,61,1,9,112
1,138,87,20.0,44,82,1,15,172
5,2,87,35.0,22,83,1,11,173
1,2,87,35.3634,28,70,1,29,174
1,139,87,35.0,28,84,1,60,175
1,140,87,18.0,28,50,1,41,176
11,141,90,23.0,45,2,1,18,177
3,142,90,60.0,8,2,3,9,178
3,143,90,28.0,8,85,11,30,179
1,139,90,35.3634,28,71,1,29,180
1,144,90,62.0,42,77,1,1,181
13,2,90,50.0,46,2,1,47,182
2,145,90,28.0,47,2,1,2,183
3,146,90,30.0,8,16,1,61,184
3,147,90,25.0,8,78,1,11,184
3,2,90,25.0,8,2,3,9,185
3,148,90,32.0,8,22,4,40,186
11,2,90,40.0,48,2,1,1,187
5,2,90,16.0,49,86,1,53,188
11,2,90,20.0,45,2,1,11,189
5,149,90,32.0,49,87,1,53,190
4,150,90,40.0,5,88,1,62,191
3,151,90,48.0,8,16,1,15,192
3,152,90,36.0,8,22,4,53,193
13,153,90,80.0,50,2,1,32,194
1,2,90,57.0,28,71,1,29,195
2,2,90,20.0,51,2,1,2,196
3,2,90,20.0,8,2,3,63,197
14,154,90,36.0,52,2,1,64,198
3,2,90,40.0,8,17,4,11,199
1,155,90,40.0,42,77,1,65,200
1,156,90,35.3634,28,71,1,29,201
1,2,90,35.3634,42,77,1,65,181
7,157,90,22.0,11,89,1,12,202
11,2,90,25.0,33,2,1,11,203
11,2,90,20.0,33,2,1,18,203
3,158,85,15.0,30,55,10,5,204
3,159,85,14.0,30,90,10,4,205
3,160,85,18.0,8,2,3,15,206
3,2,85,16.0,30,55,10,8,207
7,2,85,10.0,11,11,1,66,208
9,161,85,12.0,23,43,1,67,209
3,2,85,28.0,3,3,2,5,210
1,162,85,10.0,20,91,1,68,211
3,163,85,49.0,8,92,1,47,128
3,164,85,85.0,8,93,3,9,212
1,2,85,18.0,20,94,1,69,213
9,165,85,29.0,23,47,1,70,214
3,2,85,36.0,8,95,1,9,215
5,2,85,9.0,38,96,1,71,216
3,2,85,34.0,8,2,3,29,217
3,166,85,15.0,8,76,4,11,218
3,167,85,30.0,30,55,10,11,219
4,168,85,13.0,5,97,1,15,220
7,2,85,12.0,10,98,1,11,221
9,169,85,15.0,23,99,1,20,222
3,2,85,25.0,8,100,4,16,223
3,170,85,45.0,3,3,2,5,224
3,171,85,18.0,12,28,1,32,225
3,27,85,49.0,8,8,4,9,226
3,172,85,22.0,3,3,2,5,227
3,173,85,35.0,8,101,11,40,228
7,2,85,15.0,11,89,1,12,229
3,2,89,45.0,8,102,3,34,230
3,174,89,55.0,8,103,1,5,231
11,175,89,20.0,48,2,1,72,232
11,176,89,18.0,48,2,1,15,233
11,2,89,35.0,33,2,1,9,234
5,177,89,13.0,38,72,1,12,235
3,27,89,40.0,3,3,2,5,236
7,178,89,37.0,11,2,1,15,237
3,179,89,39.0,8,2,3,15,238
3,180,89,60.0,8,104,1,5,239
11,2,89,19.0,33,2,1,47,240
11,181,89,40.0,33,2,1,11,240
7,182,89,14.0,11,11,1,15,241
1,183,89,40.0,20,105,1,1,242
1,184,89,36.0,44,106,1,1,243
10,2,89,17.0,53,2,1,73,244
1,2,89,25.0,42,107,1,74,245
15,2,89,15.0,54,2,1,75,246
1,185,89,26.0,42,77,1,65,247
7,186,89,19.0,11,108,1,15,248
1,187,89,13.0,32,109,1,1,249
7,188,89,30.0,11,11,1,9,250
3,189,89,20.0,8,52,4,40,251
3,2,89,30.0,8,2,3,9,252
3,190,89,50.0,3,3,1,5,31
1,2,89,52.0,42,77,1,57,253
10,191,92,24.0,55,2,1,43,254
3,192,92,34.0,8,104,1,5,255
1,193,92,41.0,28,51,1,15,256
3,194,92,52.0,3,110,2,5,257
7,195,92,215.0,11,111,1,12,258
10,196,92,35.3634,55,2,1,4,259
3,197,92,60.0,8,112,1,5,260
4,198,92,40.0,56,113,1,76,261
10,199,92,35.3634,55,2,1,43,262
3,200,92,125.0,8,2,3,9,263
5,2,92,35.3634,17,114,1,32,264
1,2,92,35.3634,20,115,1,77,265
5,201,92,45.0,27,116,1,78,266
9,202,92,70.0,23,117,1,67,267
7,203,92,30.0,11,118,1,12,268
3,204,87,35.0,8,16,1,79,269
8,205,87,20.0,18,2,1,9,270
3,2,87,15.0,8,2,3,9,271
8,2,87,19.0,39,2,1,9,272
1,206,87,35.3634,32,119,1,15,273
3,27,87,28.0,8,2,3,29,206
3,207,87,14.0,19,33,8,11,274
1,2,87,35.3634,32,120,1,48,275
1,208,87,56.0,32,59,1,48,276
1,209,87,35.3634,32,121,1,52,277
3,2,87,24.0,8,122,1,40,278
16,2,87,7.0,57,2,1,11,279
5,210,87,30.0,22,123,1,5,280
15,211,87,18.0,54,2,1,1,281
1,2,87,20.0,32,119,1,48,282
1,2,87,18.0,32,119,1,48,283
12,2,87,18.0,58,2,1,47,284
3,2,87,40.0,8,2,3,9,285
1,2,87,35.3634,32,120,1,48,286
3,2,87,28.0,8,2,3,9,197
1,212,86,15.0,44,124,1,80,287
5,213,86,35.3634,17,31,1,27,288
5,2,86,35.3634,17,31,1,27,289
8,174,86,18.0,59,2,1,16,74
1,214,86,20.0,44,106,1,80,290
1,215,86,22.0,44,124,1,80,291
1,216,86,16.0,44,124,1,80,292
1,217,86,18.0,44,124,1,80,292
8,218,86,35.0,14,2,1,9,220
1,219,86,12.0,44,125,1,80,293
3,2,86,11.0,30,55,10,81,294
1,212,86,15.0,44,124,1,80,295
8,220,86,18.0,60,2,1,11,296
3,221,86,16.0,8,49,4,1,297
3,2,86,34.0,8,95,1,40,298
3,222,86,40.0,8,9,1,15,299
8,223,86,15.0,43,2,1,8,147
1,224,86,19.0,44,125,1,80,300
1,225,86,18.0,44,124,1,80,301
5,226,86,42.0,21,35,1,31,302
1,227,86,15.0,44,125,1,80,293
8,228,83,35.0,61,2,1,5,303
5,2,83,16.0,62,126,1,39,304
5,2,82,11.0,63,127,1,39,305
4,229,82,13.0,56,128,1,82,306
5,230,82,18.0,6,7,1,3,307
3,231,82,48.0,8,22,4,40,308
4,2,82,11.0,56,128,1,82,309
8,92,81,20.0,25,2,1,5,310
8,35,80,19.0,31,2,1,11,311
9,232,100,350.0,64,129,1,83,312
9,232,98,350.0,64,129,1,84,312
6,233,97,775.0,65,2,1,4,313
9,234,97,100.0,64,129,1,83,312
9,235,97,225.0,23,130,1,85,314
1,236,97,150.0,32,59,1,48,315
14,237,96,320.0,66,2,1,64,316
3,238,96,68.0,8,76,4,11,317
5,239,96,630.0,22,131,1,11,318
6,240,96,365.0,65,2,1,4,313
3,241,96,68.0,8,76,4,11,317
9,242,95,85.0,64,132,1,67,319
5,243,95,350.0,22,133,1,5,320
6,244,95,66.0,65,2,1,4,321
5,245,95,110.0,22,134,1,11,322
9,246,95,125.0,23,117,1,85,314
1,247,95,60.0,32,59,1,48,323
3,248,95,200.0,8,93,3,9,324
5,2,95,380.0,22,135,1,11,318
3,249,95,48.0,3,110,2,5,325
9,250,95,60.0,23,136,1,67,326
1,251,88,21.0,42,77,1,65,327
8,252,88,10.0,18,2,1,36,296
1,2,88,11.0,44,137,1,86,328
1,2,88,21.0,42,138,1,11,329
3,253,88,160.0,8,23,4,9,330
1,254,88,23.0,42,77,1,20,331
1,255,88,10.0,44,139,1,1,332
1,256,88,15.0,42,140,1,20,333
3,257,88,19.0,8,122,1,20,334
1,258,88,40.0,28,51,1,29,335
1,259,88,18.0,42,107,1,87,336
15,260,88,35.3634,67,2,1,1,337
17,261,88,18.0,68,2,1,48,338
1,262,88,15.0,42,141,1,1,339
8,38,88,12.0,25,2,1,16,340
1,263,88,11.0,44,137,1,1,341
8,264,88,15.0,18,2,1,9,342
1,265,88,9.0,44,142,1,11,343
1,266,88,30.0,42,77,1,8,344
3,2,88,18.0,8,143,3,20,345
3,267,88,34.0,8,76,4,16,346
3,268,88,17.0,8,8,4,20,347
3,269,88,25.0,8,73,1,5,348
1,270,88,15.0,42,77,1,1,327
8,2,88,12.0,18,2,1,9,349
8,2,88,14.0,69,2,1,11,350
3,2,87,12.0,8,36,1,20,351
8,271,87,11.0,70,2,1,11,352
8,174,87,12.0,18,2,1,16,353
1,272,87,35.3634,42,140,1,1,354
3,273,85,16.0,8,39,9,40,355
8,223,85,15.0,14,2,1,5,147
8,274,85,13.0,59,2,1,20,74
1,212,85,24.0,44,124,1,80,356
1,216,85,13.0,71,144,1,80,357
1,275,85,19.0,44,124,1,80,358
8,276,85,11.0,14,2,1,47,169
3,277,85,15.0,8,39,9,15,359
3,278,85,45.0,8,92,1,47,360
1,212,85,19.0,44,145,1,80,361
5,279,85,30.0,21,35,1,31,302
8,280,85,14.0,43,2,1,11,340
1,275,85,15.0,44,146,1,80,362
3,103,85,20.0,30,55,10,8,363
3,2,85,20.0,30,55,10,30,364
3,281,85,12.0,8,39,9,9,365
1,282,85,20.0,44,124,1,80,291
1,2,85,13.0,44,145,1,80,366
1,283,85,16.0,44,145,1,80,366
3,2,85,14.0,30,55,10,4,367
1,212,85,14.0,44,145,1,80,368
1,2,85,35.3634,44,145,1,80,366
10,284,85,35.3634,29,2,1,15,369
5,2,89,20.0,17,147,1,32,370
5,2,89,35.3634,17,31,1,27,371
3,285,89,30.0,19,33,8,16,372
3,286,89,20.0,19,148,8,46,373
10,287,89,23.0,72,2,1,43,374
3,288,89,30.0,8,39,9,1,375
3,289,89,18.0,30,149,12,39,376
4,290,89,18.0,5,150,1,88,377
3,291,89,35.0,30,151,13,82,378
10,292,89,17.0,55,2,1,43,379
3,293,89,42.0,19,152,8,47,380
3,294,89,30.0,8,36,1,20,381
3,295,89,24.0,8,153,1,88,382
3,296,89,16.0,19,154,8,4,383
3,297,89,27.0,8,92,1,46,384
1,298,89,89.0,32,59,1,48,385
10,299,89,35.3634,73,2,1,89,386
1,300,89,15.0,32,155,1,90,387
3,301,89,54.0,8,8,4,32,388
4,302,89,15.0,5,156,1,91,389
4,303,89,42.0,5,97,1,91,389
3,2,89,38.0,19,148,8,9,390
10,304,89,12.0,74,2,1,92,391
3,305,89,35.0,30,157,13,30,392
3,47,88,32.0,8,23,4,40,393
10,306,88,12.0,75,2,1,43,394
1,307,88,28.0,1,1,1,10,395
3,2,88,20.0,8,16,1,9,396
5,308,88,14.0,76,158,1,93,397
5,309,88,19.0,49,86,1,94,398
1,310,92,39.0,77,159,1,11,399
5,311,92,35.3634,21,35,1,31,400
1,312,92,35.0,28,84,1,29,401
5,313,92,35.3634,22,160,1,11,402
5,314,92,69.0,21,35,1,31,403
18,315,92,30.0,78,161,1,95,404
3,2,92,40.0,8,162,14,11,197
3,216,92,23.0,8,80,1,82,405
3,316,92,45.0,8,104,1,5,406
1,317,92,50.0,77,159,1,82,407
5,318,92,100.0,21,35,1,31,408
3,319,92,50.0,3,163,2,5,409
3,320,92,29.0,3,110,2,50,409
5,321,92,66.0,22,160,1,11,410
5,322,92,60.0,21,35,1,31,411
6,323,92,115.0,7,2,1,4,412
1,324,92,69.0,44,164,1,15,413
5,325,92,35.3634,21,35,1,11,414
3,326,92,65.0,3,3,2,5,415
6,327,92,42.0,9,2,1,4,416
6,328,92,27.0,9,2,1,4,416
5,329,92,70.0,21,35,1,31,417
5,330,92,73.0,22,165,1,5,410
5,331,92,72.0,22,165,1,5,410
2,332,92,34.0,36,2,1,2,133
5,333,92,35.3634,21,35,1,31,418
3,334,92,130.0,8,143,3,9,419
3,335,92,88.0,8,2,3,15,25
5,2,92,65.0,17,166,1,32,420
5,336,92,35.3634,21,35,1,31,421
1,139,87,15.0,1,167,1,96,422
3,337,87,45.0,19,168,8,32,423
1,338,87,18.0,1,169,1,96,424
3,339,87,60.0,8,170,1,5,425
11,2,87,12.0,33,2,1,18,426
11,340,87,12.0,45,2,1,18,427
5,2,87,13.0,49,171,1,53,428
3,341,87,13.0,8,52,4,9,429
1,342,87,15.0,42,107,1,1,430
1,2,87,18.0,42,172,1,87,431
1,2,87,13.0,42,172,1,57,431
4,343,87,19.0,56,128,1,82,432
10,344,87,18.0,55,2,1,43,391
3,2,87,30.0,19,148,8,29,433
3,2,87,35.0,19,168,8,15,434
3,2,87,12.0,30,55,10,11,435
3,345,87,18.0,8,173,11,11,436
4,346,87,25.0,5,88,1,62,437
3,347,87,30.0,8,174,7,30,438
3,348,87,17.0,8,162,14,5,439
5,349,87,20.0,63,175,1,39,440
4,350,87,11.0,5,150,1,39,441
3,351,87,15.0,8,176,6,97,442
10,352,87,18.0,79,2,1,69,443
3,2,87,19.0,8,76,4,20,444
5,353,87,15.0,49,86,1,53,445
4,2,87,16.0,5,97,1,88,446
1,2,87,12.0,42,177,1,1,447
3,354,87,28.0,19,152,8,47,448
3,2,87,28.0,19,178,8,88,448
3,355,91,65.0,8,2,3,15,297
3,356,91,48.0,8,179,1,11,137
5,357,91,70.0,21,35,1,31,449
5,358,91,59.0,21,35,1,31,449
3,359,91,90.0,8,180,3,9,450
8,360,91,35.0,14,2,1,16,147
3,361,91,75.0,8,17,4,5,451
3,362,91,55.0,8,76,4,5,452
3,363,91,55.0,8,76,4,5,452
5,364,91,60.0,22,181,1,5,453
3,365,91,36.0,8,182,11,70,384
3,366,91,35.0,8,73,1,98,454
3,367,91,35.0,8,73,1,70,454
3,368,91,55.0,3,3,2,5,455
3,369,91,65.0,3,183,2,5,456
3,370,91,35.0,19,184,8,47,457
3,197,91,49.0,8,112,1,11,128
3,371,91,55.0,3,110,2,5,458
6,372,91,30.0,7,2,1,99,412
5,373,91,42.0,21,35,1,31,418
3,374,91,45.0,8,76,4,5,459
8,375,91,24.0,14,2,1,47,340
3,376,91,50.0,3,14,5,82,154
3,377,91,50.0,3,3,2,5,154
3,378,91,50.0,3,3,2,5,154
3,379,91,38.0,8,16,1,9,460
6,372,91,22.0,9,2,1,4,461
3,2,91,50.0,19,148,8,32,462
3,2,91,110.0,8,2,3,9,463
3,380,91,45.0,3,185,15,5,464
3,381,93,42.0,8,73,1,5,144
3,382,93,60.0,8,104,1,5,465
3,316,93,42.0,8,104,1,5,465
1,383,93,30.0,42,186,1,100,466
3,384,93,75.0,8,2,3,9,467
3,385,93,54.0,8,153,1,15,382
3,386,93,85.0,8,2,3,9,468
3,387,93,50.0,8,17,4,11,469
3,388,93,150.0,8,187,1,29,470
3,389,93,85.0,8,188,4,5,471
1,390,93,90.0,32,59,1,48,472
3,107,93,35.0,8,162,14,11,473
3,391,93,46.0,8,23,4,40,474
5,2,93,20.0,63,189,1,39,475
7,392,93,42.0,11,11,1,12,476
5,393,93,40.0,63,190,1,39,477
3,2,93,75.0,19,184,8,9,478
4,394,93,88.0,5,12,1,88,479
3,382,93,40.0,8,104,1,5,480
3,395,93,25.0,8,191,11,1,481
3,396,93,48.0,8,76,4,101,482
3,397,93,45.0,8,76,4,47,482
3,398,93,50.0,8,17,4,5,483
3,2,93,65.0,8,2,3,34,484
3,399,93,48.0,8,170,1,5,465
3,400,93,62.0,8,16,1,47,485
3,401,93,100.0,8,9,1,15,470
3,402,93,53.0,8,2,3,9,486
7,403,93,55.0,11,11,1,12,487
3,2,93,70.0,8,41,3,9,488
3,404,89,38.0,19,33,8,11,489
3,405,89,50.0,19,178,8,47,490
3,2,89,25.0,8,192,6,37,491
1,2,89,15.0,32,193,1,102,492
5,2,89,14.0,17,194,1,32,493
5,230,89,11.0,49,195,1,39,494
5,2,89,14.0,17,194,1,32,495
5,406,89,37.0,17,62,1,32,496
3,407,89,17.0,30,55,10,39,497
5,408,89,15.0,17,196,1,32,498
3,2,89,13.0,8,39,9,39,499
3,2,89,18.0,19,197,16,1,500
3,409,89,26.0,19,198,16,8,501
3,2,89,18.0,19,152,8,16,502
3,410,89,32.0,8,69,1,5,503
10,2,89,18.0,80,2,1,43,504
3,411,89,25.0,19,178,8,11,505
10,55,89,18.0,81,2,1,50,506
10,55,89,20.0,82,2,1,20,506
3,2,89,18.0,8,32,1,11,507
10,2,89,35.3634,29,2,1,92,508
3,2,89,17.0,8,16,1,11,509
10,412,89,13.0,74,2,1,43,391
3,413,89,41.0,19,148,8,12,510
10,2,89,16.0,74,2,1,4,511
5,414,89,20.0,49,2,1,53,512
3,2,89,30.0,19,33,8,9,513
15,2,89,13.0,83,2,1,103,514
10,415,89,24.0,55,2,1,4,379
3,416,89,36.0,8,16,1,29,515
3,2,87,20.0,8,8,4,9,439
1,417,87,19.0,32,155,1,90,516
17,418,87,15.0,68,2,1,20,517
3,2,87,69.0,8,199,3,9,518
3,2,87,36.0,30,151,13,30,519
4,419,87,35.0,5,5,1,15,520
7,420,87,30.0,11,11,1,15,521
3,421,87,25.0,3,200,15,70,522
3,422,87,25.0,3,200,15,44,522
2,423,87,15.0,2,2,1,54,523
3,27,87,20.0,3,183,2,43,524
3,424,87,17.0,8,201,4,20,525
3,425,87,54.0,8,162,14,5,526
3,426,87,40.0,8,16,1,61,527
2,427,87,12.0,84,2,1,54,528
1,2,87,19.0,44,202,1,86,529
7,2,87,11.0,11,11,1,12,530
3,121,87,45.0,8,76,4,11,531
1,275,87,25.0,44,203,1,104,532
3,428,87,35.0,8,42,3,16,533
1,216,87,16.0,32,204,1,11,534
1,103,87,20.0,44,203,1,104,535
3,2,87,28.0,8,73,1,5,144
3,429,87,25.0,85,2,1,15,536
3,430,87,28.0,85,2,1,15,536
3,431,87,20.0,85,205,1,15,537
1,2,87,15.0,44,139,1,86,538
1,432,87,23.0,44,206,1,86,539
1,433,87,19.0,32,109,1,1,277
9,434,92,35.0,23,47,1,67,540
3,435,92,75.0,8,76,4,5,541
3,436,92,48.0,3,3,1,5,542
5,437,92,54.0,6,7,1,8,543
5,438,92,34.0,6,7,1,4,544
9,2,92,60.0,64,207,1,44,545
3,439,92,48.0,8,22,4,40,546
4,440,92,28.0,5,150,1,105,547
9,441,92,125.0,23,117,1,67,314
5,442,92,45.0,6,7,1,51,548
5,443,92,36.0,6,7,1,4,549
5,444,92,30.0,6,7,1,3,549
3,445,92,37.0,8,104,1,11,550
3,2,92,25.0,8,39,9,3,468
2,446,92,30.0,36,2,1,2,551
3,2,92,60.0,8,17,4,11,552
3,47,92,40.0,8,16,1,9,553
3,447,92,50.0,3,3,2,5,554
2,448,92,23.0,24,2,1,2,555
2,2,92,80.0,2,2,1,2,556
6,449,92,34.0,9,2,1,4,557
3,450,92,75.0,8,2,3,9,558
1,2,92,24.0,42,140,1,57,559
5,451,92,39.0,6,7,1,4,116
9,2,92,21.0,86,208,1,4,560
3,2,92,35.0,8,78,1,70,561
5,452,92,43.0,6,7,1,4,562
3,453,92,30.0,8,209,6,40,563
3,454,92,70.0,3,110,2,5,564
11,455,92,50.0,48,2,1,53,565
3,2,90,40.0,8,210,14,11,566
3,2,90,45.0,19,148,8,9,567
3,456,90,80.0,8,211,3,9,568
3,2,90,15.0,8,95,1,87,569
1,457,90,65.0,32,59,1,48,570
3,458,90,65.0,8,60,4,9,571
1,459,90,35.0,32,212,1,102,572
1,97,90,25.0,32,63,1,52,124
3,2,90,20.0,19,33,8,4,573
4,460,90,15.0,87,213,1,106,574
3,461,90,26.0,30,151,13,4,575
3,462,90,30.0,19,148,8,12,576
3,463,90,13.0,19,33,8,9,577
3,2,90,45.0,8,2,3,34,578
3,103,90,26.0,30,157,13,4,579
3,464,90,44.0,8,80,1,5,580
3,27,90,38.0,8,162,14,9,581
3,2,90,28.0,8,162,14,5,582
3,465,90,32.0,19,178,8,11,583
1,466,90,50.0,28,214,1,47,584
1,467,90,35.0,28,214,1,47,584
3,468,90,35.0,19,33,8,9,585
4,469,90,25.0,5,150,1,13,586
3,470,90,42.0,19,33,8,47,587
1,471,90,45.0,32,215,1,107,588
1,472,90,70.0,28,216,1,15,589
3,473,90,30.0,19,184,8,9,590
3,474,90,75.0,8,17,4,5,591
1,475,90,53.0,32,59,1,48,592
3,476,90,29.0,8,69,1,11,593
3,477,91,90.0,19,168,8,9,594
3,478,91,35.0,8,92,1,15,595
10,479,91,35.0,29,2,1,15,596
3,480,91,50.0,8,217,1,12,597
1,481,91,35.0,28,56,1,15,598
3,2,91,65.0,8,52,4,30,599
11,2,91,50.0,33,2,1,20,600
